Product Name,Product Price,Product Image
Bicycle Computer - 15 Function - Black, 710  ,"https://pk.daraz.io/ZdpB1Juy12YifHIN6KOyVHHd7r4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/96/08476/1.jpg?5079"
Stoga M9s - Full HD 1080P Dual Lens Car Video DVR Camera," 14,999  ","https://pk.daraz.io/o2EuTxaHmC_MZXRfC9tPV8qFIMA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/45976/1.jpg?1730"
MX Master 2S Wireless Mouse with FLOW Cross-Computer Control and File Sharing for PC and Apple," 9,999  ","https://pk.daraz.io/3561N5dszednkMskaeJHpdwEXJ8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/01/36727/1.jpg?0702"
Noctis 450-ROG-G1 - Mid Tower Computer Case - Black," 21,499  ","https://pk.daraz.io/m3R79sc1i6pQATNjyZg0t5dozwk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/34/92067/1.jpg?3160"
Phantom White Steel / Plastic Enthusiast ATX Full Tower Computer Case PHAN-001WT," 17,499  ","https://pk.daraz.io/ncLVE9NBlPfsJzPc3UJ-SAIT6Jc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/58/43757/1.jpg?4366"
H370 - USB Computer Headset," 3,499  ","https://pk.daraz.io/CKdDdOHhbtgGYJecpDOx2B6xcBE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/48/16727/1.jpg?7780"
MX Anywhere 2S Wireless Mouse with FLOW Cross-Computer Control and File Sharing for PC and Apple," 9,999  ","https://pk.daraz.io/S-rHKtDbNGCw-LubreAYsryPSUY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/11/36727/1.jpg?9238"
Cambridge Igcse Computer Science (Free Web Resources) (Pb) 2015," 1,495  ","https://pk.daraz.io/LEa4mJARGZB-IHvPaJSUnyvCdEI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/31/94996/1.jpg?7994"
Click Start: Computer Science For Schools Pakistan Edition Book-6, 475  ,"https://pk.daraz.io/Y1ePQv6XEp64vzPtDBf5WOqkYyI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/04/62896/1.jpg?9070"
Click Start: Computer Science For Schools Pakistan Edition Book-5, 395  ,"https://pk.daraz.io/0uSsI_qX_Te78bSGdQSE--8j3zs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/43/62896/1.jpg?9069"
Click Start: Computer Science For Schools Pakistan Edition Book-1, 225  ,"https://pk.daraz.io/NJPb-NLhFV-WadbAtKzREgwNg0o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/40/62896/1.jpg?9066"
Antscope - 8.0MM Waterproof Wifi Endoscope Borescope Inspection Camera 2.0 MP HD 720P 5M," 4,499  ","https://pk.daraz.io/PLWXH-OpIz8R3Eowu8mWiZosTcY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/95438/1.jpg?0758"
Bluetooth Speaker with HD Sound & Extra Battery Timing - Multi Color, 349  ,"https://pk.daraz.io/KnwssZxvUz7HxzvGqAUjLG6XlF0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/14/12558/1.jpg?7132"
Mini Speakers For Computers & Mobiles, 799  ,"https://pk.daraz.io/xAJsPE2FtTO35kHIHYxQ26p8n7A=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/68/90558/1.jpg?9689"
Fast Wireless Bluetooth Mouse - Black, 399  ,"https://pk.daraz.io/7vlRuYecFDH615ewwLbR5q6vNfQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/62/12558/1.jpg?7132"
Mini USB Fan gadgets Flexible Cool For laptop PC Notebook high quality For Power Bank Laptop Desktop PC Computer, 150  ,"https://pk.daraz.io/lf085dyPJFZSMeCtEU1QS6dqATY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/47/21358/1.jpg?5356"
S1 2.4G Wireless Keyboard Air Mouse Remote Controller with Touchpad for Computer," 1,268  ","https://pk.daraz.io/CBhf-NrBRAAlNrvTGvxvKF4YzHw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/16/05238/1.jpg?7445"
Micro Sd Usb Mobile Card Reader, 59  ,"https://pk.daraz.io/gGSpdPx0qfOuZUwnP0NRpdwwu5M=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/14/84458/1.jpg?9532"
OMNI CRADLE DESKTOP CHARGER USB TYPE-C," 2,999  ","https://pk.daraz.io/vcx7YW1X6DoBL9LlLBkEPBmnhlI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/56/08038/1.jpg?3020"
Universal size Computer Office Chair Cover, 499  ,"https://pk.daraz.io/CkRQXPxJhAQSkABztUysS8c2s2s=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/58/79948/1.jpg?8678"
Pack of 50 Pages Computer Color Paper - A4 Size, 116  ,"https://pk.daraz.io/XBQap_pZfJVDKcfYaEG3yMvt3lI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/38/86977/1.jpg?4042"
Leopard Elastic Computer Chair Cover, 489  ,"https://pk.daraz.io/REj__Ozald4IJMD8oBkaLiMnM38=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/21/17158/1.jpg?0379"
Universal Size Black Computer Office Chair Cover, 540  ,"https://pk.daraz.io/3CZ2RkdalfQbDxyv_VW2cHui8_Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/33/14948/1.jpg?0657"
FC-124 120mm RGB Ring Colorful LED Computer Case Cooling Fan," 1,499  ","https://pk.daraz.io/gym2NUwfxUrJoriKQkXY95jGym4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/96/51058/1.jpg?0419"
250 gb external hard drive for pc and laptop," 2,500  ","https://pk.daraz.io/fU6Eo8NyLDvYlYVCnxt3L7gLZRY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/07/50848/1.jpg?5246"
JoyStick Double Shock Wired USB 2.0 Multi Colour Fancy Gamepad Joystick Joypad Game Controller Pad For PC Laptop Computer For Win7/8/10 XP, 599  ,"https://pk.daraz.io/uUwvd-6D2BsNbMG3mYdI8zWQE1o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/70/64848/1.jpg?9349"
Sades SA810 3.5mm Stereo PS4/Xbox One/Computer/phones Over Ear Gaming Headphone - Camouflage," 3,499  ","https://pk.daraz.io/2YL12DBjPOgiHMxlHNdM-wLYKRw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/53/34158/1.jpg?6767"
"ZornWee Wireless Fashion Mouse 2.4G,Black", 599  ,"https://pk.daraz.io/HMBHWXTPk4orwFEIiQzVhobu-DA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/98/42838/1.jpg?5221"
Elasticity Office Computer Side Arm Chair Cover, 479  ,"https://pk.daraz.io/EFdYL--ojtPpzg6KpO95I_B21wg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/60/56738/1.jpg?7913"
320 GB external hard drive for PC and Laptop," 3,300  ","https://pk.daraz.io/1D-BGonha7pgQuha_c4KHfq3JBw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/96/50848/1.jpg?5246"
YONTEX - USB 3.0 Charge and Sync Data Cord for iPhone iPad," 1,299  ","https://pk.daraz.io/3sKXgsiUpUnoqWJPi1E6B85Xc24=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/27/05538/1.jpg?3321"
Desktop Computer 6200 Intel Core i3 2nd Gen 2120 (3.1 GHz) 8 GB 1TB HDD Windows 10 Professional - Certified Pc," 17,890  ","https://pk.daraz.io/6WOLrOoDYF0CJR_Ura32seB0OwM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/58/51748/1.jpg?0192"
Elastic Fabric Office Computer Chair Cover - Black, 312  ,"https://pk.daraz.io/Q3Qss9crpY32yXe7AOHRZs8qr0U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/74/85738/1.jpg?6023"
KTV Karaoke Mixer Dual Wireless Microphone Set," 8,999  ","https://pk.daraz.io/mPYuZFFG--US1kiVPakJ4U-gTfU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/66/71338/1.jpg?3849"
4 Port USB Hub - 2.0 - Black (with 1 months warranty), 139  ,"https://pk.daraz.io/UVnM8Sn_DBDJUxpdpJGBQuz6KE8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/60848/1.jpg?5249"
USB Printer Cable 1.5 meter for Computer and other Devices, 100  ,"https://pk.daraz.io/wZRUheM8JbG23AEH_zQDClQSC4o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/32/36638/1.jpg?8149"
Computer Networking With Internet Protocols And Technology (Pb)," 1,104  ","https://pk.daraz.io/IkbSyH0-fl0_bDo8P8s7JLQHeXk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/88/42108/1.jpg?3941"
Computer And Communication Networks (Pb)," 1,041  ","https://pk.daraz.io/c6S3InQe6t7AeU04k8edVN4T20A=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/26/68008/1.jpg?3653"
Gochange - Wire Ferrule Crimp Tool Square Crimp," 1,499  ","https://pk.daraz.io/iYZDlXW9SpL8zTrs-lg7zuFK7TM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/52/00068/1.jpg?0652"
Molain - Electric Spin Spa B Long Handle Bath Brush With 3 Spare Brush Heads," 3,999  ","https://pk.daraz.io/pHXMYRffYOTZRX-IOImY6uwTQGA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/02/00068/1.jpg?0654"
